name_gr,name_en,description_gr,description_en,ects,city_en,city_gr,phone,email,website,languages,topics,has_tuition_fees,tuition_fees_from,tuition_fees_to,eu_tuition_fees,non_eu_tuition_fees,study_modes,is_archived,apply_status,department_id,masters_id,semesters,part_time,part_time_semesters,has_part_time_tuition_fees,part_time_eu_tuition_fees,part_time_non_eu_tuition_fees_to,scholarship_offered,id,created_at,updated_at,department.id,department.name_gr,department.name_en,department.school_id,department.university_id,department.school.id,department.school.name_gr,department.school.name_en,department.school.university_id,department.university.id,department.university.name_gr,department.university.name_en,department.university.image,department.university.image_url,school_id,university_id,collab_en_institutions,collab_gr_institutions
Ευρωπαϊκό Μεταπτυχιακό στη Μηχανική Ενσωματωμένης Νοημοσύνης Νανοσυστημάτων (EMINENT), European Master on Embedded Intelligence Nanosystems Engineering (EMINENT),"Το πρόγραμμα προσφέρει προηγμένη κατάρτιση που καλύπτει ένα ευρύ φάσμα, από την κατασκευή συσκευών και υλικών σε νανοκλίμακα —συμπεριλαμβανομένων προηγμένων αισθητήρων και στοιχείων μηχανικής μάθησης— έως έξυπνα συστήματα σε μακροκλίμακα και διασυνδεδεμένες συσκευές του Διαδικτύου των Πραγμάτων (IoT) στους τομείς της πληροφορικής, της ανίχνευσης και της ενέργειας.","The programme offers advanced training from the nanoscale fabrication of devices and materials, including advanced sensoric and machine-learning components, up to macroscale intelligent systems and IoT interconnected devices in the information, sensing, and energy application areas.",120,Heraklion,Ηράκλειο,+302810379200,eminent@uni-siegen.de,https://eminent-master.eu/,English,Science and Engineering,false,,,,,In Person,false,false,167,,4,false,,false,,,true,1952,2026-05-05T20:15:13.153807Z,2026-05-08T11:01:44.894403Z,167,Τμήμα Ηλεκτρονικών Μηχανικών,Department of Electronic Engineering,63,13,63,Σχολή Μηχανικών,School of Engineering,13,13,Ελληνικό Μεσογειακό Πανεπιστήμιο,Hellenic Mediterranean University,universities/13.png,https://r2files.studyingreece.edu.gr/universities/13.png,63,13
"Προστασία, Αποκατάσταση και Ανάδειξη Ιστορικών Κτηρίων και Συνόλων","Protection, Valorization and Conservation of Monuments and Sites","Κατηγορίες Εισακτέων:
α) διπλωματούχοι Τμημάτων και Σχολών Αρχιτεκτόνων Μηχανικών, Πολιτικών Μηχανικών, Τοπογράφων Μηχανικών, Χημικών Μηχανικών, Επιστημόνων Υλικών, Χημικών και Τμημάτων συναφών γνωστικών αντικειμένων Ανωτάτων Εκπαιδευτικών Ιδρυμάτων της ημεδαπής και αντίστοιχων της αλλοδαπής, αναγνωρισμένων και ομοταγών, β) Πτυχιούχοι Τμημάτων Αρχαιολογίας, Ιστορίας της Τέχνης, Συντηρητών έργων τέχνης και αρχαιοτήτων καθώς και Τμημάτων συναφών γνωστικών αντικειμένων Ανωτάτων Εκπαιδευτικών Ιδρυμάτων της ημεδαπής και αντίστοιχων της αλλοδαπής, αναγνωρισμένων και ομοταγών και γ) πτυχιούχοι Τμημάτων των Α.Τ.Ε.Ι., συναφούς γνωστικού αντικειμένου","Categories of Entrants:
a) Graduates of Departments and Schools of Architectural Engineering, Civil Engineering, Surveying Engineering, Chemical Engineering, Materials Science, Chemistry and Departments of related subjects of Higher Educational Institutions in Greece and their counterparts abroad, recognized and equivalent, b) Graduates of Departments of Archaeology, History of Art, Conservators of Works of Art and Antiquities as well as Departments of related subjects of Higher Educational Institutions in Greece and their counterparts abroad, recognized and equivalent and c) Graduates of Departments of A.T.E.I., of a related subject",120,Chania,Χανιά,+302821037111,secretary_arch@tuc.gr,https://www.arch.tuc.gr/el/spoydes/metaptychiakes-spoydes/syntomo-istoriko,English;Greek,Technology,true,3000,3000,3000,3000,In Person;Remotely,false,false,422,,4,true,8,false,,,true,1936,2026-05-05T12:24:31.922664Z,2026-05-05T12:24:31.922664Z,422,Σχολή Αρχιτεκτόνων Μηχανικών,School of Architecture,149,28,149,Σχολή Αρχιτεκτόνων Μηχανικών,School of Architecture,28,28,Πολυτεχνείο Κρήτης,Technical University of Crete,universities/28.png,https://r2files.studyingreece.edu.gr/universities/28.png,149,28
Τεχνητή Νοημοσύνη για Ψηφιακό Μετασχηματισμό,Artificial Intelligence for Digital Transformation,"Το Πρόγραμμα Μεταπτυχιακών Σπουδών (Π.Μ.Σ.) με τίτλο: «Τεχνητή Νοημοσύνη για Ψηφιακό Μετασχηματισμό» αποτελεί μία συνεργασία του Οικονομικού Πανεπιστημίου Αθηνών και του Τμήματος Διοικητικής Επιστήμης και Τεχνολογίας με τον Όμιλο Eurobank, ο οποίος αποτελεί το φορέα Χρηματοδότησης.

Το Π.Μ.Σ. έχει ως αντικείμενο την παροχή ειδικευμένων σπουδών μεταπτυχιακού επιπέδου στους βασικούς τομείς του Ψηφιακού Μετασχηματισμού με έμφαση στην Τεχνητή Νοημοσύνη και εστιάζει στα ακόλουθα γνωστικά πεδία:

- Τεχνητή Νοημοσύνη και Υπολογιστικές Ποσοτικές Μέθοδοι,
- Ανάλυση, Σχεδιασμός και Υλοποίηση Πληροφοριακών συστημάτων και Εφαρμογών,
- Διοίκηση Έργων Ψηφιακού Μετασχηματισμού,
- Ηλεκτρονικό Επιχειρείν και Ψηφιακή Καινοτομία

To Πρόγραμμα προσφέρεται για φοιτητές πλήρους φοίτησης (2 εξάμηνα και διπλωματική εργασία/πρακτική άσκηση).

Οι 10 κορυφαίοι απόφοιτοι προσλαμβάνονται από τη Eurobank!

Οι φοιτητές που τελειώνουν επιτυχώς το Π.Μ.Σ. έχουν την δυνατότητα να κάνουν αίτηση και εφόσον γίνουν αποδεκτοί να συνεχίσουν τις σπουδές τους στο Διδακτορικό Προγράμμα του Τμήματος Διοικητικης Επιστήμης και Τεχνολογιας.","The Master's Program titled ""Artificial Intelligence for Digital Transformation"" is a collaboration between the Athens University of Economics and Business and the Department of Business Administration and Technology in partnership with Eurobank Group, which is the funding entity.

The MSc. aims to provide specialized postgraduate studies in the core areas of Digital Transformation with an emphasis on Artificial Intelligence, focusing on the following knowledge fields:

- Artificial Intelligence and Computational Quantitative Methods,
- Analysis, Design, and Implementation of Information Systems and Applications,
- Project Management in Digital Transformation,
- E-Business and Digital Innovation.

The program is designed for full-time students (2 semesters plus a thesis/intership).

Eurobank hires the top 10 graduates!

Successfully graduating students from the Program have the opportunity to apply for and, if accepted, continue their studies in the Doctoral Program of the Department of Business Administration and Technology.",90,Athens,Αθήνα,+302108203685,digitaltransformation@aueb.gr,https://dept.aueb.gr/en/digitaltransformation,English,Technology,true,2500,2500,,,In Person,false,false,188,,3,false,,false,,,false,1853,2026-04-29T12:58:56.430023Z,2026-05-07T20:41:32.070736Z,188,Τμήμα Διοικητικής Επιστήμης και Τεχνολογίας,Department of Management Science and Technology,72,15,72,Σχολή Διοίκησης Επιχειρήσεων,School of Business,15,15,Οικονομικό Πανεπιστήμιο Αθηνών,Athens University of Economics and Business,universities/15.png,https://r2files.studyingreece.edu.gr/universities/15.png,72,15
MBA in Air Transport Management,MBA in Air Transport Management,"Το MATBA, ένα πρόγραμμα με έμφαση στον κλάδο, συγκαταλέγεται στα πρωτοποριακά προγράμματα Μεικτού Τύπου Μεταπτυχιακού Διπλώματος στη Διοίκηση Επιχειρήσεων (MBA) παγκοσμίως στον τομέα της αεροπορίας. Παρέχει ολοκληρωμένη προηγμένη κατάρτιση και εξειδικευμένες γνώσεις σε διάφορες πτυχές των αερομεταφορών, καλύπτοντας πλήρως την ανάγκη του κλάδου για εξειδικευμένο επιστημονικό προσωπικό. Το πρόγραμμα είναι πιστοποιημένο από την Ελληνική Αρχή Ανώτατης Εκπαίδευσης. Στόχος του είναι η κατάρτιση εξειδικευμένων επαγγελματιών, ικανών να διαχειρίζονται ολοκληρωμένα αεροπορικές εταιρείες και αεροδρόμια, συμπεριλαμβανομένων δραστηριοτήτων που σχετίζονται με τις αεροναυτιλιακές υπηρεσίες. Μέσω της μελέτης και της διεπιστημονικής ανάλυσης διαφόρων προκλήσεων στον τομέα της αεροπορίας, οι μεταπτυχιακοί φοιτητές θα αποκτήσουν τις απαραίτητες θεωρητικές γνώσεις, δεξιότητες και στρατηγικές γνώσεις για να διευρύνουν την εξειδίκευσή τους, να ενισχύσουν την κριτική τους σκέψη και να αναπτύξουν μια ευρύτερη επιστημονική προοπτική σχετικά με τις αερομεταφορές.","MATBA, an industry-focused programme, is among the pioneering blended Master of Business Administration (MBA) offerings globally within the aviation sector. It delivers comprehensive advanced training and specialised knowledge across various aspects of air transport, fully addressing the sector’s need for qualified scientific personnel. The programme is accredited by the Hellenic Authority for Higher Education. Its aim is to develop highly specialised professionals equipped to manage airlines and airports comprehensively, including activities related to aeronautical services. Through the study and interdisciplinary analysis of various challenges in the aviation sector, postgraduate students will gain the necessary theoretical knowledge, skills, and strategic insights to expand their expertise, enhance critical thinking, and develop a wider scientific perspective on air transport.",90,Chios,Χίος,+302271035332,matba_akad_gram@aegean.gr,https://matba.aegean.gr/,English,Economics Management,true,10000,10000,,,In Person;Remotely,false,false,206,,3,true,6,false,,,true,1841,2026-04-29T10:56:30.253334Z,2026-04-29T10:56:30.253334Z,206,Τμήμα Οικονομικής και Διοίκησης Τουρισμού,Department of Tourism Economics and Management,77,16,77,Σχολή Επιστημών της Διοίκησης,School of Business,16,16,Πανεπιστήμιο Αιγαίου,University of the Aegean,universities/16.png,https://r2files.studyingreece.edu.gr/universities/16.png,77,16
Αναζωογόνηση,Resuscitation,"Σκοπός του ΔΔΠΜΣ «Αναζωογόνηση» είναι: να εκπαιδεύσει και να εξειδικεύσει νέους επιστήμονες επαγγελμάτων υγείας στο ευρύ και αναπτυσσόμενο πεδίο της Αναζωογόνησης, εισάγοντάς τους στις μεθόδους έρευνας για την παραγωγή και την εφαρμογή καινούργιων επιστημονικών δεδομένων με στόχο την πρόληψη αλλά και την άμεση και αποτελεσματική αντιμετώπιση του βαρέως πάσχοντος ενδονοσοκομειακά και εξωνοσοκομειακά. Επίσης σκοπός είναι η παροχή εκπαίδευσης στη αναζωογόνηση και στη λήψη αποφάσεων που σχετίζονται με αυτές καθώς επίσης και η αντιμετώπιση του ασθενούς που έχει αντιμετωπιστεί με επιτυχία στα επείγοντα ή σε γενικό θάλαμο ή στη μονάδα εντατικής θεραπείας.

α) να στελεχώσουν Μονάδες που παρέχουν Επείγουσα Φροντίδα σε πρωτοβάθμιο και δευτεροβάθμιο επίπεδο και να παράσχουν υψηλής ποιότητας φροντίδα ενδο και εξωνοσοκομειακά

β) να στελεχώσουν Μονάδες Εντατικής Θεραπείας

γ) να στελεχώσουν με επάρκεια το τμήμα Επειγόντων Περιστατικών

δ) να προετοιμαστούν για σπουδές διδακτορικού επιπέδου

ε) να διδάσκουν το γνωστικό αντικείμενο.

Το σύνολο των πολυεπίπεδων διεπιστημονικών γνώσεων που παρέχει το ΔΔΠΜΣ δίνει τη δυνατότητα στους/στις αποφοίτους/ες του να συνεχίσουν τις σπουδές τους σε διδακτορικό επίπεδο, με ιδιαίτερη έμφαση σε εφαρμοσμένη έρευνα αιχμής, σε εγχώρια και διεθνή ακαδημαϊκά Ιδρύματα.

Το ΔΔΠΜΣ, επίσης, ενισχύει τη στενότερη συνεργασία μεταξύ των συμμετεχόντων Τμημάτων του, τη διεθνή προβολή και την αποτελεσματικότερη διασύνδεσή τους με επιχειρήσεις και οργανισμούς σε εθνικό, περιφερειακό και διεθνές επίπεδο και συμβάλλει στον εμπλουτισμό της διδακτικής και ερευνητικής διαδικασίας, με τη δυναμική αξιοποίηση κρίσιμων επιστημονικών συνεργειών και πολύτιμων πόρων.

Στο ΔΔΠΜΣ γίνονται δεκτοί πτυχιούχοι πανεπιστημίων Ιατρικής, Νοσηλευτικής, Βιοϊατρικών Επιστημών, Μαιευτικής και όλων των τμημάτων Επιστημών υγείας και συναφών Τμημάτων της ημεδαπής ή Τμημάτων αναγνωρισμένων ομοταγών ιδρυμάτων της αλλοδαπής, καθώς και πτυχιούχοι ΤΕΙ.","The purpose of the program is to train and specialize young health science professionals in the broad and evolving field of resuscitation. It aims to introduce them to research methodologies for generating and applying new scientific knowledge for the prevention and effective management of critically ill patients, both in and out of hospital settings.

Additionally, the program provides specialized training in resuscitation and decision-making related to emergency care and post-resuscitation management of patients in emergency departments, wards, and intensive care units.

Graduates of the program will be able to:

(a) staff emergency care units at both primary and secondary levels and deliver high-quality care;

(b) work in Intensive Care Units (ICUs);

(c) staff Emergency Departments (EDs) with competence;

(d) prepare for doctoral-level studies;

(e) teach the subject of resuscitation.

The multidisciplinary knowledge base provided by the program enables graduates to pursue doctoral studies, with emphasis on cutting-edge applied research at both national and international academic institutions.

The program also promotes collaboration among participating departments, enhances international visibility, and fosters connections with organizations and institutions on a local, regional, and global level. It enriches both teaching and research through dynamic academic synergies and the use of valuable scientific resources.

The IIPGP accepts graduates from universities of Medicine, Nursing, Biomedical Sciences, Midwifery and all departments of Health Sciences and related Departments in Greece or Departments of recognized equivalent institutions abroad, as well as graduates of TEIs.",120,Athens,Αθήνα,+302112136842,resuscitation@uniwa.gr,https://resuscitation.uniwa.gr/,English;Greek,Health,true,4000,4000,,,In Person,false,false,224,,4,false,,false,,,false,1809,2026-04-28T12:50:53.869259Z,2026-04-28T12:50:53.869259Z,224,Τμήμα Μαιευτικής,Department of Midwifery,83,17,83,Σχολή Επιστημών Υγείας & Πρόνοιας,School of Health and Care Sciences,17,17,Πανεπιστήμιο Δυτικής Αττικής,University of West Attica,universities/17.png,https://r2files.studyingreece.edu.gr/universities/17.png,83,17
Προχωρημένη Αισθητική και Κοσμητολογία: Ανάπτυξη-Ποιοτικός Έλεγχος και Ασφάλεια Νέων Καλλυντικών Προϊόντων,Advanced Aesthetics and Cosmetic Science: Development-Quality Control and Safety of new cosmetic products,"Το ΠΜΣ στοχεύει στην προσφορά εξειδικευμένων γνώσεων στα πεδία: α) της Αισθητικής και της Βιοϊατρικής Τεχνολογίας στην Αισθητική Επιστήμη β) της ανάπτυξης καλλυντικών προϊόντων και επίλυσης προβλημάτων κατά την ανάπτυξη γ) του ποιοτικού ελέγχου και δ) μελετών ασφάλειας και αποτελεσματικότητας των καλλυντικών προϊόντων. Σκοπός του μεταπτυχιακού είναι η προσφορά στους φοιτητές προηγμένων γνώσεων για α) την αντιμετώπιση των αισθητικών προβλημάτων με καινοτόμα καλλυντικά προϊόντα και τη χρήση σύγχρονων συσκευών της Βιοϊατρικής Τεχνολογίας β) τη διαχείριση αισθητικών προβλημάτων από τον Αισθητικό επί εδάφους δερματοπαθειών στο βαθμό που επιτρέπεται από την κείμενη νομοθεσία και στην ανάπτυξη από τον Κοσμητολόγο καλλυντικών προϊόντων που συστήνονται επικουρικά στις δερματικές παθήσεις γ) την εμπεριστατωμένη κατανόηση των μηχανισμών δράσης των βιοδραστικών συστατικών που ενσωματώνονται σε καλλυντικά προϊόντα δ) την ανάπτυξη (formulation) διαφόρων καλλυντικοτεχνικών μορφών και την επίλυση των προβλημάτων που προκύπτουν κατά την ανάπτυξη και την παραγωγή ε) τον ποιοτικό έλεγχο, τη διασφάλιση ποιότητας και τις κλινικές μελέτες ασφάλειας και αποτελεσματικότητας καλλυντικών προϊόντων.

Η χρονική διάρκεια φοίτησης στο Π.Μ.Σ. που οδηγεί στη λήψη Διπλώματος Μεταπτυχιακών Σπουδών (Δ.Μ.Σ.) ορίζεται σε τρία (3) ακαδημαϊκά εξάμηνα, στα οποία περιλαμβάνεται και ο χρόνος εκπόνησης διπλωματικής εργασίας.

Στο Π.Μ.Σ. «Προχωρημένη Αισθητική και Κοσμητολογία: Ανάπτυξη-Ποιοτικός έλεγχος και Ασφάλεια νέων καλλυντικών προϊόντων» γίνονται δεκτοί πτυχιούχοι Σχολών Επιστημών Υγείας, Σχολών Θετικών Επιστημών και συναφών τμημάτων άλλων Σχολών της ημεδαπής ή αναγνωρισμένων ομοταγών Ιδρυμάτων της αλλοδαπής, καθώς και πτυχιούχοι Τμημάτων Τ.Ε.Ι συναφούς γνωστικού αντικειμένου.","The Master's program aims to provide specialized knowledge in the following fields: a) Aesthetics and Biomedical Technology in Aesthetic Science; b) the development of cosmetic products and problem-solving during development; c) quality control; and d) safety and efficacy studies of cosmetic products. The purpose of the master’s program is to provide students with advanced knowledge regarding a) addressing aesthetic problems with innovative cosmetic products and the use of modern biomedical technology devices; b) the management of aesthetic problems by an Aesthetician in the context of skin conditions to the extent permitted by current legislation, and the development by a Cosmetologist of cosmetic products recommended as adjunctive treatments for skin conditions; c) a thorough understanding of the mechanisms of action of bioactive ingredients incorporated into cosmetic products d) the formulation of various cosmetic formulations and the resolution of problems arising during development and production e) quality control, quality assurance, and clinical studies on the safety and efficacy of cosmetic products.

The duration of study in the Master’s Program leading to the award of a Master’s Degree is set at three (3) academic semesters, including the time required to complete the thesis.

The M.S. program “Advanced Aesthetics and Cosmetology: Development, Quality Control, and Safety of New Cosmetic Products” accepts graduates of Schools of Health Sciences, Schools of Natural Sciences, and related departments of other domestic schools or recognized equivalent institutions abroad, as well as graduates of Technical Educational Institutes (TEI) in related fields.",90,Athens,Αθήνα,+302105385834,aesthcosm@uniwa.gr,https://msc-aesthcosm.uniwa.gr/,English,Health,false,,,,,In Person,false,false,222,1911,3,false,,false,,,false,1808,2026-04-28T12:30:52.079893Z,2026-04-28T12:30:52.079893Z,222,Τμήμα Βιοϊατρικών Επιστημών,Department of Biomedical Sciences,83,17,83,Σχολή Επιστημών Υγείας & Πρόνοιας,School of Health and Care Sciences,17,17,Πανεπιστήμιο Δυτικής Αττικής,University of West Attica,universities/17.png,https://r2files.studyingreece.edu.gr/universities/17.png,83,17
Αειφόρα Ενεργειακά Συστήματα,Sustainable Energy Systems - SES,"Σύμφωνα με την αποστολή του Πανεπιστημίου Δυτικής Αττικής και του Τμήματος Μηχανολόγων Μηχανικών, το πρόγραμμα έχει σχεδιαστεί για να εκπαιδεύει μελλοντικούς διευθυντές βιώσιμης μηχανικής με διεπιστημονικές και πρακτικές γνώσεις, με στόχο:

Να ακολουθήσουν μια επιτυχημένη καριέρα ως διευθυντές μηχανικής σε επιχειρήσεις, δημόσιους φορείς, μη κερδοσκοπικούς οργανισμούς, πανεπιστήμια, εργαστήρια, εταιρείες συμβούλων ή στον ιδιωτικό τομέα.
Να προσφέρουν στην κοινωνία αναπτύσσοντας νέες ιδέες και βελτιώνοντας προϊόντα και υπηρεσίες σε διάφορα περιβάλλοντα.
Ενθαρρύνουν όχι μόνο την επαγγελματική τους εξειδίκευση, αλλά και τη συνεχή ανάπτυξη των κοινωνικών γνώσεων και δεξιοτήτων τους.","Consistent with the mission of the University of West Attica and the Department of Mechanical Engineering, the SES Programme is designed to educate future sustainable engineering managers with interdisciplinary and practical knowledge in order to:

- Make a successful career as an engineering manager in business, government, non-profits, universities, labs, consulting firms, or the private sector.
- Serve society by developing new ideas and improving products and services in a variety of settings.
- Encourage not only their professional expertise but also their ongoing social knowledge and skill development.",120,Athens,Αθήνα,+302132010121,master.echp@uniwa.gr,https://mscses.uniwa.gr/,English,Science and Engineering,true,4800,4800,,,In Person,false,false,236,,4,false,,false,,,false,1799,2026-04-28T11:16:49.095223Z,2026-04-28T11:16:49.095223Z,236,Τμήμα Μηχανολόγων Μηχανικών,Department of Mechanical Engineering,85,17,85,Πολυτεχνική Σχολή,Faculty of Engineering,17,17,Πανεπιστήμιο Δυτικής Αττικής,University of West Attica,universities/17.png,https://r2files.studyingreece.edu.gr/universities/17.png,85,17
Ενεργειακές και Περιβαλλοντικές Επενδύσεις,Energy and Environmental Developments,"Κύριος στόχος του προγράμματος είναι να δώσει στους φοιτητές του όλη την απαραίτητη αλλά και συνθετική γνώση σχετικά με τα παραπάνω πεδία αλλά κυρίως να ενθαρρύνει τη δραστηριοποίηση των φοιτητών του στην ανάπτυξη της δικής τους επαγγελματικής σταδιοδρομίας στα θέματα της Ενέργειας και του Περιβάλλοντος.

Το ΠΜΣ έχει σχεδιαστεί με τρόπο που να ανταποκρίνεται στις σύγχρονες ανάγκες  των επαγγελματικών πεδίων της Ενέργειας και του Περιβάλλοντος,  αξιοποιώντας την πολύχρονη εμπειρία της επιστημονικής ομάδας  που υλοποιεί το μεταπτυχιακό πρόγραμμα.  Για το σκοπό αυτό στο σχεδιασμό του έχουν περιληφθεί, επιπλέον των  σύγχρονων και πρωτοποριακών του μαθημάτων, εξειδικευμένα σεμινάρια,  εργαστήρια (workshops), μελέτες περιπτώσεων πραγματικών προβλημάτων επιχειρήσεων και σύνδεση με τον ακαδημαικό και τον επαγγελματικό χώρο της  Ενέργειας και του Περιβάλλοντος.","The main objective of the program is to provide students with all the necessary and comprehensive knowledge regarding the above fields, but above all to encourage them to take an active role in developing their own professional careers in the fields of Energy and the Environment .

The M.S. program has been designed to meet the contemporary needs of the professional fields of Energy and the Environment, leveraging the long-standing experience of the academic team implementing the program.  To this end, in addition to its modern and innovative courses, the program includes specialized seminars,  workshops, case studies of real-world business problems, and connections to the academic and professional fields of Energy and the Environment.",120,Athens,Αθήνα,+302105381493,mbaenergy@uniwa.gr,https://mbaenergy.gr/,Greek;English,Environmental Sciences;Technology,false,,,,,In Person,false,false,236,1257,4,true,4,false,,,false,1794,2026-04-28T10:58:08.182315Z,2026-04-28T10:58:08.182315Z,236,Τμήμα Μηχανολόγων Μηχανικών,Department of Mechanical Engineering,85,17,85,Πολυτεχνική Σχολή,Faculty of Engineering,17,17,Πανεπιστήμιο Δυτικής Αττικής,University of West Attica,universities/17.png,https://r2files.studyingreece.edu.gr/universities/17.png,85,17
MBA στα Οικονομικά της Διοίκησης και την Τεχνητή Νοημοσύνη,MBA in Business Economics and Artificial Intelligence,"Αντικείμενο του Δ.Π.Μ.Σ., το οποίο λειτουργεί στις εγκαταστάσεις του Τμήματος Οικονομικών Επιστημών, ΠΔΜ (επισπεύδον) και σε αυτές του Τμήματος Οικονομικών Επιστημών, του CMU, είναι η μελέτη της λήψης διοικητικών αποφάσεων χρησιμοποιώντας μεθόδους τεχνικής νοημοσύνης παρέχοντας ταυτόχρονα εξειδίκευση στα Οικονομικά της Διοίκησης. Οι παραδόσεις των μαθημάτων, οι εξετάσεις όπως και όλες οι λοιπές μαθησιακές διαδικασίες πραγματοποιούνται με τη χρήση σύγχρονης ή/και ασύγχρονης τηλεκπαίδευσης χωρίς τη φυσική παρουσία των φοιτούντων στα Τμήματα που οργανώνουν το Δ.Π.Μ.Σ.

Απευθύνεται σε πτυχιούχους ΑΕΙ που θέλουν να κάνουν καριέρα ως διοικητικά στελέχη επιχειρήσεων και οργανισμών χρησιμοποιώντας μεθόδους τεχνικής νοημοσύνης για τη λήψη διοικητικών αποφάσεων παρέχοντας ταυτόχρονα εξειδίκευση στους τομείς της οικονομίας και των επιχειρήσεων, ώστε να μπορούν να καλύψουν τις αυξανόμενες ανάγκες  μιας οικονομίας, όπως αυτές εξελίσσονται και διαμορφώνονται στα πλαίσια της Ευρωπαϊκής Ένωσης αλλά διεθνώς.","The focus of the Master’s program, which is housed in the Department of Economics, PDM (accelerated) and those of the Department of Economics at CMU, is the study of managerial decision-making using artificial intelligence methods while providing specialization in Managerial Economics. Classes, exams, and all other learning processes are conducted using synchronous and/or asynchronous distance learning, without the physical presence of students at the departments organizing the M.S. program.

It is aimed at university graduates who wish to pursue a career as managerial executives in businesses and organizations, utilizing artificial intelligence methods for managerial decision-making while simultaneously providing specialization in the fields of economics and business, so that they can meet the growing needs of an economy as these evolve and take shape within the European Union and internationally.",90,Kozani,Κοζάνη,+302467440042,mba@uowm.gr,https://mba.uowm.gr/,English;Greek,Economics Management;Technology,true,3600,3600,,,Remotely,false,false,247,,3,false,,false,,,false,1788,2026-04-28T10:27:58.921898Z,2026-05-04T14:43:26.757912Z,247,Τμήμα Οικονομικών Επιστημών,Department of Economics,87,18,87,Σχολή Οικονομικών Επιστημών,School of Economic Sciences,18,18,Πανεπιστήμιο Δυτικής Μακεδονίας,University of Western Macedonia,universities/18.png,https://r2files.studyingreece.edu.gr/universities/18.png,87,18
Ηλεκτρονικό Επιχειρείν και Ψηφιακό Μάρκετινγκ,Electronic Business and Digital Marketing,"Το ΠΜΣ έχει ως αφετηρία τις προκλήσεις του 21ου αιώνα, με βασική παράμετρο την αυξανόμενη ανταγωνιστικότητα στις σύγχρονες επιχειρήσεις και τους οργανισμούς στο ευρύτερο πλαίσιο του διεθνούς κοινωνικού, οικονομικού, θεσμικού, πολιτικού και πολιτισμικού περιβάλλοντος, καθώς και τη σύγχρονη επιστημονική, τεχνολογική εξέλιξη και διεύρυνση του επαγγελματικού χώρου σε συνάφεια με τα ολοένα εμφανιζόμενα ζητήματα και τις απαιτήσεις της ψηφιακής εποχής. Πιο συγκεκριμένα, το ΠΜΣ έχει ως αντικείμενο την παροχή εκπαίδευσης, υψηλού επιπέδου, σε σύγχρονα ζητήματα και θεματικά πεδία του ηλεκτρονικού επιχειρείν και του ψηφιακού μάρκετινγκ.

Ειδικότερα, σκοπός του ΠΜΣ είναι η παροχή των απαραίτητων, πλέον, γνώσεων και δεξιοτήτων για την επιτυχή ανάπτυξη και υποστήριξη επιχειρηματικότητας βασισμένη στην τεχνολογία και την καινοτομία, προσφέροντας παράλληλα το βέλτιστο συνδυασμό τεχνικών και διοικητικών γνώσεων, αλλά και γνώσεων μάρκετινγκ, διαμορφώνοντας την ταυτότητα ενός αποφοίτου που θα είναι ικανός να ανταποκριθεί στις ανάγκες, τόσο των επιχειρήσεων όσο και της δημόσιας διοίκησης στην ψηφιακή εποχή. Επιπλέον, στοχεύει στην καλλιέργεια της αναλυτικής σκέψης για την αντιμετώπιση επίκαιρων ζητημάτων, τόσο στο χώρο των ΤΠΕ και της ηλεκτρονικής επιχειρηματικότητας όσο και του ψηφιακού μάρκετινγκ.","The Master’s program takes as its starting point the challenges of the 21st century, with a key focus on the growing competitiveness of modern businesses and organizations within the broader context of the international social, economic, and institutional political, and cultural environment, as well as contemporary scientific and technological developments and the expansion of the professional field in relation to the ever-emerging issues and demands of the digital age. More specifically, the M.Sc. program aims to provide high-level education on contemporary issues and subject areas in e-business and digital marketing.
Specifically, the program’s goal is to provide the knowledge and skills now essential for the successful development and support of entrepreneurship based on technology and innovation, while offering the optimal combination of technical and managerial knowledge, as well as marketing knowledge, shaping the identity of a graduate who will be capable of meeting the needs of both businesses and public administration in the digital age. Furthermore, it aims to cultivate analytical thinking to address current issues, both in the fields of ICT and e-business as well as digital marketing.",90,Kozani,Κοζάνη,+302461056654,ebdm@uowm.gr,https://ebdm.uowm.gr/,English;Greek,Economics Management;Technology,true,3500,3500,,,Remotely,false,false,245,,3,true,6,false,,,false,1787,2026-04-28T10:18:57.556333Z,2026-04-28T10:18:57.556333Z,245,Τμήμα Διοικητικής Επιστήμης και Τεχνολογίας,Department of Management Science & Technology,87,18,87,Σχολή Οικονομικών Επιστημών,School of Economic Sciences,18,18,Πανεπιστήμιο Δυτικής Μακεδονίας,University of Western Macedonia,universities/18.png,https://r2files.studyingreece.edu.gr/universities/18.png,87,18
