name_gr,name_en,description_gr,description_en,collab_en_institutions,ects,city_en,city_gr,phone,email,website,languages,topics,has_tuition_fees,tuition_fees_from,tuition_fees_to,study_modes,type,masters_id,id,department_id,created_at,updated_at,is_archived,admission_type,collaborations,is_featured,univ_name_en,univ_name_gr
"Σπουδές Νοτιοανατολικής Ευρώπης: Πολιτική, Ιστορία, Οικονομικά","MA in Southeast European Studies: Politics, History, Economics","Το αγγλόφωνο μεταπτυχιακό πρόγραμμα ενός έτους «Σπουδές Νοτιοανατολικής Ευρώπης: Πολιτική, Ιστορία, Οικονομία» του Εθνικού και Καποδιστριακού Πανεπιστημίου Αθηνών, προσφέρει μια διεπιστημονική κατανόηση των ιστορικών, κοινωνικών, πολιτικών, οικονομικών και πολιτιστικών ζητημάτων της Νοτιοανατολικής Ευρώπης. Σχεδιασμένο για αποφοίτους των κοινωνικών και ανθρωπιστικών επιστημών, το πρόγραμμα χαρακτηρίζεται από έντονο διεθνή χαρακτήρα, εξαιρετική αναλογία φοιτητών-καθηγητών και ευκαιρίες για συνεργατική μάθηση. Συμμετέχει επίσης στο κοινό μεταπτυχιακό πρόγραμμα EUROSUD.Στο Π.Μ.Σ. γίνονται δεκτοί πτυχιούχοι πανεπιστημίων της ημεδαπής ή αναγνωρισμένων ομοταγών ιδρυμάτων της αλλοδαπής, καθώς και πτυχιούχοι Τ.Ε.Ι. συναφούς γνωστικού αντικειμένου. Απευθύνεται κατά κύριο λόγο σε πτυχιούχους κοινωνικών και ανθρωπιστικών επιστημών (πολιτικής επιστήμης, κοινωνιολογίας, ιστορίας, οικονομικών, κοινωνικής ανθρωπολογίας, βαλκανικών σπουδών, δημοσιογραφίας κ.λπ.).

Οι φοιτητές που είναι υπήκοοι συγκεκριμένων χωρών της Νοτιοανατολικής Ευρώπης (δηλ. Αλβανία, Βοσνία-Ερζεγοβίνη, Βουλγαρία, Κροατία, Κόσοβο [σύμφωνα με την απόφαση 1244 του Συμβουλίου Ασφαλείας του ΟΗΕ], Μαυροβούνιο, Ρουμανία, Σερβία και Βόρεια Μακεδονία) έχουν το δικαίωμα να υποβάλουν αίτηση για απαλλαγή από τα δίδακτρα.","The one-year Master’s in “Southeast European Studies: Politics, History, Economics,” taught in English at NKUA, offers an interdisciplinary understanding of Southeastern Europe’s historical, social, political, economic, and cultural issues. Designed for graduates in the social sciences and humanities, the program features a strong international character, excellent student-teacher ratio, and opportunities for collaborative learning. It also participates in the Joint Master Degree EUROSUD.Holders of a first-cycle degree from a Greek university or equivalent foreign institution are eligible for admission to the program. The program is mainly addressed to graduates of departments of Humanities and Social Sciences.

Students who are citizens of specified Southeast European countries (i.e. Albania, Bosnia and Herzegovina, Bulgaria, Croatia, Kosovo [under UNSC Resolution 1244] Montenegro, Romania, Serbia, and North Macedonia) are eligible to apply for fee waiver.",{},75,Athens,Αθήνα,+302103688965,postgrad_SEE@pspa.uoa.gr,https://see.pspa.uoa.gr/,{english},{politics},true,3600,3600,{in_person},Master,1787,1501,133,2026-01-11 22:41:56.437713 +00:00,2026-05-26 10:31:07.430740 +00:00,false,external,[],false,National and Kapodistrian University of Athens,Εθνικό & Καποδιστριακό Πανεπιστήμιο Αθηνών
ΠΜΣ στη Χρηματοοικονομική Διοίκηση,MSc in Financial Management,"Το Μεταπτυχιακό (MSc) στη Χρηματοοικονομική Διοίκηση παρέχει εκπαίδευση στους θεμελιώδεις κανόνες και τις διαδικασίες της χρηματοοικονομικής ανάλυσης, με σκοπό την αξιολόγηση της διοικητικής απόδοσης και των προοπτικών επιβίωσης και ανάπτυξης των εταιρειών. Διδάσκει στους φοιτητές τις μεθόδους και τις πρακτικές που οδηγούν στη βέλτιστη κατανομή των οικονομικών πόρων των σύγχρονων επιχειρήσεων, καθώς και τις τεχνικές δεξιότητες που απαιτούνται στην ανάλυση δεδομένων (data analytics) για την επίλυση εταιρικών προβλημάτων μέσω της ανάλυσης μεγάλου όγκου χρηματοοικονομικών δεδομένων.

Το πρόγραμμα προσφέρει επί του παρόντος τρεις διακριτές ειδικεύσεις: α) την ειδίκευση στη Χρηματοοικονομική Διοίκηση (Financial Management), β) την ειδίκευση στη Χρηματοοικονομική Διοίκηση βάσει Δεδομένων (Data Driven Financial Management) και γ) την ειδίκευση στη Βιώσιμη Χρηματοοικονομική Διοίκηση (Sustainable Financial Management). Το πρόγραμμα καλύπτει τα γνωστικά αντικείμενα της εταιρικής χρηματοδότησης, της διαχείρισης επενδύσεων, των αγορών παραγώγων, της λογιστικής, της τραπεζικής, του χρηματοοικονομικού σχεδιασμού, της χρηματοοικονομικής τεχνολογίας (FinTech), της μηχανικής μάθησης (machine learning), της διαχείρισης βιωσιμότητας, των συγχωνεύσεων και εξαγορών, της διαχείρισης δεδομένων και κυβερνοασφάλειας, των στρατηγικών επιχειρηματικών αναφορών και της αξιολόγησης ESG, καθώς και των αναφορών για τη Βιωσιμότητα και την Κλιματική Αλλαγή.

Οι φοιτητές αποφοιτούν πλήρως εφoδιασμένοι για να αναζητήσουν απασχόληση στον ιδιωτικό και δημόσιο τομέα, είτε στην Ελλάδα είτε στο εξωτερικό. Συγκεκριμένα, οι απόφοιτοι θα παρουσιάζουν υψηλή ζήτηση από οργανισμούς όπως εμπορικές και επενδυτικές τράπεζες, χρηματοπιστωτικά ιδρύματα, χρηματιστηριακές εταιρείες, συμβουλευτικές εταιρείες, ασφαλιστικές εταιρείες, κτηματομεσιτικά γραφεία και ναυτιλιακές επιχειρήσεις.
","The MSc in Financial Management provides education on the fundamental rules and procedures of financial analysis in order to evaluate managerial performance and the survival and growth prospects of firms,  and teaches students the methods and practices that lead to the optimal allocation of the financial resources of modern enterprises, as well as the technical skills required in data analytics to resolve corporate problems through analysing large amounts of financial data.  

The program currently offers three distinct specializations, a) the specialization in Financial Management, b) the specialization in Data Driven Financial Management and c) the specialization in Sustainable Financial Management. The program covers the subject areas of corporate financing, investments management, derivatives markets, accounting, banking, financial planning, financial technology (FinTech), machine learning, sustainability management, mergers and acquisitions, data management & cyber security, strategic business reporting and ESG scoring, Sustainability and Climate Change Reporting

Students graduate well equipped to seek employment in the private and public sector either in Greece or abroad. Specifically, graduates will be in high demand by organizations such as commercial and investment banks, financial institutions, brokerage firms, consulting firms, insurance companies, real estate agencies and shipping firms.
",{},75,Athens,Αθήνα,+302108203856,master.fm@aueb.gr,https://www.dept.aueb.gr/msc-fm,{english},"{economics_management,humanities}",true,6200,6400,{in_person},Master,1334,1187,190,2026-01-11 22:41:56.437713 +00:00,2026-04-02 13:48:30.919524 +00:00,false,internal,[],false,Athens University of Economics and Business,Οικονομικό Πανεπιστήμιο Αθηνών
"Δ.Π.Μ.Σ. Διεθνής Ναυτιλία, Χρηματοοικονομική και Διοίκηση","MSc in International Shipping, Finance and Management","Το διατμηματικό μεταπτυχιακό πρόγραμμα MSc in International Shipping, Finance and Management (ISFM) απευθύνεται σε μεταπτυχιακούς φοιτητές και στελέχη που επιθυμούν να εισέλθουν ή να ενισχύσουν την καριέρα τους στους τομείς της ναυτιλίας, των χρηματοοικονομικών και της διοίκησης και στοχεύουν να προχωρήσουν στα υψηλότερα επίπεδα της διεθνούς αγοράς μέσω ενός αγγλόφωνου μεταπτυχιακού προγράμματος κατάρτισης, το οποίο είναι ιδιαίτερα αναγνωρισμένο. Το μεταπτυχιακό πρόγραμμα αποτελείται από έναν μοναδικό συνδυασμό των τριών γνωστικών τομέων της Ναυτιλίας, των Χρηματοοικονομικών και της Διοίκησης, τομείς απαραίτητοι για όσους ενδιαφέρονται για μια καριέρα στη διεθνή ναυτιλιακή βιομηχανία.Οι φοιτητές αποφοιτούν με άριστη προετοιμασία, διαθέτοντας υψηλής ποιότητας σχετικές θεωρητικές και πρακτικές γνώσεις, ώστε να είναι ιδιαίτερα ανταγωνιστικοί στην αγορά εργασίας και να βρουν άμεση απασχόληση μετά την αποφοίτησή τους. Οι εργοδότες των αποφοίτων μας περιλαμβάνουν κορυφαίες ναυτιλιακές εταιρείες, εταιρείες συμβουλευτικής, επενδυτικές και εμπορικές τράπεζες και άλλους σε όλο τον κόσμο.Στο Δ.Π.Μ.Σ. γίνονται δεκτοί κάτοχοι τίτλου του πρώτου κύκλου σπουδών ΑΕΙ, της ημεδαπής ή ομοταγών ιδρυμάτων της αλλοδαπής σύμφωνα με τις διατάξεις του άρθρου 34 του ν. 4485/2017, όπως αυτές εξειδικεύονται στον Κανονισμό Μεταπτυχιακών Σπουδών του Δ.Π.Μ.Σ.","The Interdepartmental MSc in International Shipping,  Finance and Management (ISFM) is targeted towards graduate students and executives wishing to either to enter or further enhance their career in the sectors of Shipping, Finance and Management and aim to advance to the highest levels of the international market via an English-speaking graduate training program, which is highly acclaimed.The MSc Program comprises a unique combination of the three knowledge areas of Shipping, Finance and Management. These are essential for anyone interested in a career in the international shipping industry.Students graduate well-equipped with top - quality relevant theoretical and practical knowledge to be highly competitive in the job market and obtain immediate job placement following graduation. Employers of our graduates include leading shipping companies, consulting companies, investment and commercial banks and others across the world.Holders of a first-cycle degree from a Greek university or equivalent foreign institution are eligible for admission to the program.",{},75,Athens,Αθήνα,+302108203696,msc.isfm@aueb.gr,https://www.dept.aueb.gr/msc-isfm,{english},"{economics_management,science_and_engineering}",true,7600,7600,{in_person},Master,1329,1182,190,2026-01-11 22:41:56.437713 +00:00,2026-01-11 22:41:56.437713 +00:00,false,external,[],false,Athens University of Economics and Business,Οικονομικό Πανεπιστήμιο Αθηνών
ΞΠΠΣ στη Λογιστική και Χρηματοοικονομική,BSc in Accounting and Finance,"Το ΞΠΠΣ στη Λογιστική και Χρηματοοικονομική προσφέρεται από το Τμήμα Λογιστικής και Χρηματοοικονομικής του Πανεπιστημίου Μακεδονίας, στη Θεσσαλονίκη, Ελλάδα. Το Πανεπιστήμιο Μακεδονίας είναι ένα δημόσιο ίδρυμα και θεωρείται ως ένα από τα κορυφαία Πανεπιστήμια στην Ελλάδα για σπουδές σε Λογιστική και Χρηματοοικονομική, τόσο σε προπτυχιακό όσο και σε μεταπτυχιακό επίπεδο. Διαθέτει σύγχρονες υποδομές, βιβλιοθήκη υψηλών προδιαγραφών και παρέχει δυνατότητες προσβασιμότητας για φοιτητές ΑμεΑ.

Το ΞΠΠΣ στη Λογιστική και Χρηματοοικονομική είναι ένα τετραετές πρόγραμμα σπουδών (240 ECTS), πιστοποιημένο από τις αρμόδιες αρχές, που προσφέρει ευελιξία λόγω της δυνατότητας για μερική φοίτηση και την παρακολούθηση των διαλέξεων εξ’ αποστάσεως. Το πρόγραμμα σπουδών έχει σχεδιαστεί προσεκτικά ώστε να προσφέρει σύγχρονα μαθήματα, ενώ είναι αναγνωρισμένο από διεθνείς οργανισμούς επαγγελματικής πιστοποίησης στη Λογιστική, την Ελεγκτική και τη Χρηματοοικονομική, προσφέροντας ένα ισχυρό διαβατήριο για εργασία στο εξωτερικό. Το ΞΠΠΣ στη Λογιστική και Χρηματοοικονομική προσφέρει τη δυνατότητα στους φοιτητές του να ανακαλύψουν και να αναδείξουν τις προοπτικές τους σε ένα Πανεπιστήμιο εγνωσμένου κύρους.

Οι φοιτητές του ΞΠΠΣ στη Λογιστική και Χρηματοοικονομική είναι σίγουρο, επίσης, ότι θα έχουν μια μοναδική εμπειρία. Οι εγκαταστάσεις του Πανεπιστημίου βρίσκονται στο κέντρο της Θεσσαλονίκης, η οποία θεωρείται μία από τις καλύτερες ""φοιτητουπόλεις"" της Ελλάδας λόγω των παροχών που προσφέρει και του προσιτού κόστους διαμονής και διαβίωσης. Έχει άριστο δίκτυο υποδομών μεταφοράς, που συμπεριλαμβάνει ένα διεθνές αεροδρόμιο και ένα σύγχρονο μετρό. Η Θεσσαλονίκη αποτελεί ένα κέντρο πολιτισμού, με νυχτερινή ζωή, πλούσια κουζίνα, και μαζί με το γεγονός ότι σε κοντινή απόσταση βρίσκεται η περιοχή της Χαλκιδικής που αποτελεί ένα δημοφιλή τουριστικό προορισμό, δικαιολογούν γιατί η πόλη βρίσκεται ιδιαίτερα υψηλά στις προτιμήσεις των φοιτητών. Επίσης, οι φοιτητές θα έχουν τη δυνατότητα να ασχοληθούν με ποικίλες δραστηριότητες και να εκμεταλλευτούν διάφορες ευκαιρίες κατά τη φοίτησή τους, όπως το να σπουδάσουν ένα εξάμηνο στο εξωτερικό μέσω του προγράμματος Erasmus, να συμμετέχουν σε πρόγραμμα πρακτικής άσκησης, να ενταχθούν σε φοιτητικούς συλλόγους ή να εγγραφούν σε ένα από τα διάφορα προγράμματα που προσφέρονται από το Πανεπιστήμιο.
","The BSc in Accounting and Finance is an undergraduate program offered by the Department of Accounting and Finance of the University of Macedonia, in Thessaloniki, Greece. The University of Macedonia is a public institution and it is considered as one of the top Universities in Greece to study Accounting and Finance at undergraduate or postgraduate level. It has a modern infrastructure, a high-spec library and it has accessibility options for students with disabilities.

The BSc in Accounting and Finance is a four-year, officially accredited programme, comprising 240 ECTS units, while offering flexibility by allowing for part-time and hybrid (i.e. partial on-line) delivery modes. The curriculum has been carefully designed to offer state-of-the-art modules and it is recognised by international professional accreditation agencies in Accounting, Auditing and Finance, offering signature authority and a global passport to the global workplace. The BSc in Accounting and Finance enables students to unlock their future potential affordably at a renowned institution.

The BSc in Accounting and Finance is also guaranteed to offer a unique student experience. The campus is situated at the city centre of Thessaloniki, which is considered as the best “student-city” of Greece due to the amenities that it has to offer and its affordable accommodation and subsistence costs. It is highly accessible, featuring an international airport and a modern diver-less metro. Thessaloniki is itself a cultural hub, with a vibrant nightlife, a rich cuisine, while the close proximity to the Halkidiki peninsula, a popular holiday destination, justify why the city is a sought after student destination. Students will be also able to engage with a rich list of activities and opportunities, including studying a semester abroad to eligible countries through the Erasmus programme, enter an internship programme, join a society, or join one of the various classes offered at University gym.
",{},240,Thessaloniki,Θεσσαλονίκη,+302310891691,info.accfin@uom.edu.gr,https://accfinbsc.com/,{english},{economics_management},true,5900,5900,"{in_person,remotely}",Bachelor,,20,341,2026-01-11 22:41:56.437713 +00:00,2026-05-25 08:06:41.080290 +00:00,false,internal,[],false,University of Macedonia,Πανεπιστήμιο Μακεδονίας
Ολοκληρωμένη διαχείριση παραγωγικών ζώων και άγριας πανίδας,Livestock and Wildlife Management,"1. Απόφοιτοι ΑΕΙ Γεωπονικών Σχολών, 2. Απόφοιτοι ΑΕΙ Οικονομικών Σχολών, 3. Απόφοιτοι ΑΕΙ Σχολών Τεχνολογίας Γεωπονίας, 4. Απόφοιτοι ΑΕΙ Σχολών ή Τμημάτων Κτηνιατρικής, Βιολογίας, Βιοχημείας και Βιοτεχνολογίας, Γεωλογίας, Δασολογίας και Φυσικού Περιβάλλοντος, Περιβάλλοντος, Ιχθυολογίας ή παρεμφερών αντικειμένων καθώς και ομοταγών Ιδρυμάτων του εξωτερικού.","1. Graduates of Agricultural Universities,2. Graduates of higher education institutions of economics,3. Graduates of TEI Schools of Agricultural Technology,4. Graduates of Universities of Applied Sciences, Schools or Departments of Veterinary Medicine, Biology, Biochemistry and Biotechnology, Geology, Forestry and Natural Environment, Environment, Ichthyology or similar subjects as well as of similar institutions abroad.",{},120,Florina,Φλώρινα,+302385054610,lwm@uowm.gr,https://lwm.uowm.gr/,"{greek,english}","{agriculture,environmental_sciences}",true,2200,2200,{remotely},Master,1848,1552,252,2026-01-11 22:41:56.437713 +00:00,2026-04-28 08:54:35.465617 +00:00,false,external,[],false,University of Western Macedonia,Πανεπιστήμιο Δυτικής Μακεδονίας
Ποιοτικός Έλεγχος Τροφίμων,Food Quality Control,"Το Διακρατικό/Διιδρυματικό Πρόγραμμα Μεταπτυχιακών Σπουδών στον Ποιοτικό Έλεγχο Τροφίμων συνδιοργανώνεται από το Τμήμα Χημικών Μηχανικών της Πολυτεχνικής Σχολής του Πανεπιστημίου Δυτικής Μακεδονίας και το Πανεπιστήμιο Τεχνολογίας Τροφίμων του Plovdiv της Βουλγαρίας.

Το ΠΜΣ είναι αυτοχρηματοδοτούμενο. Τα δίδακτρα είναι 3.200 ευρώ, τα οποία κατανέμονται σε τρεις ισόποσες δόσεις.

Η διάρκεια του ΔΠΜΣ που οδηγεί σε μεταπτυχιακό δίπλωμα ειδίκευσης (ΜΔΕ) είναι 3 εξάμηνα εκ των οποίων το 3ο εξάμηνο διατίθεται για την εκπόνηση της διπλωματικής εργασίας.","The International Master’s Program in Food Quality Control is jointly organized by the Department of Chemical Engineering of the School of Engineering at the University of Western Macedonia (Greece) and the University of Food Technologies in Plovdiv (Bulgaria).

This Master’s Program is self-funded. The tuition fee is €3,200, payable in three equal installments.

The duration of the program, which leads to the award of a Postgraduate Specialization Diploma (MSc), is three semesters, with the third semester dedicated to the preparation of the master’s thesis.",{},90,Kozani,Κοζάνη,+302461056654,grad-food@uowm.gr,https://fqc.chemeng.uowm.gr/en/home-page/,"{english,greek}","{technology,agriculture}",true,3200,3200,"{in_person,remotely}",Master,1360,1786,252,2026-04-28 10:09:18.748630 +00:00,2026-05-26 08:18:51.987322 +00:00,false,external,[],false,University of Western Macedonia,Πανεπιστήμιο Δυτικής Μακεδονίας
MSc in Host-Microbe Interaction,MSc in Host-Microbe Interaction,"Το μεταπτυχιακό πρόγραμμα HosMic του Πανεπιστημίου Θεσσαλίας εστιάζει στις αλληλεπιδράσεις ξενιστή-μικροβίου, συνδυάζοντας βασική και εφαρμοσμένη έρευνα στα μικροβιώματα φυτών και ζώων. Οι απόφοιτοι αποκτούν εξειδίκευση στη δομή, τη λειτουργία, τη ρύθμιση και τις αλληλεπιδράσεις των μικροβίων με τον ξενιστή, καθώς και στις επιδράσεις των αβιοτικών παραγόντων. Το πρόγραμμα εξοπλίζει τους φοιτητές με δεξιότητες ανάλυσης και χειρισμού ολόβιοτικών συστημάτων, προετοιμάζοντάς τους για καριέρα στην έρευνα, τη βιοτεχνολογία, τη γεωργία, τη φαρμακευτική, τη διαχείριση του περιβάλλοντος και συναφείς τομείς.Γίνονται δεκτοί πτυχιούχοι Τμημάτων Πανεπιστημίων της ημεδαπής και αναγνωρισμένων ομοταγών ιδρυμάτων της αλλοδαπής.","The HosMic MSc program at the University of Thessaly focuses on host-microbe interactions, combining fundamental and applied research in plant and animal microbiomes. Graduates gain expertise in microbiome structure, function, regulation, and host interactions, as well as the effects of abiotic factors. The program equips students with skills to analyze and manipulate holobiont systems, preparing them for careers in research, biotechnology, agriculture, pharmaceuticals, environmental management, and related sectors.Holders of a relevant first-cycle degree from a Greek university or equivalent foreign institution are eligible for admission to the program.",{},75,Volos,Βόλος,+302421093156,hosmic@uth.gr,https://hosmic.uth.gr/,{english},"{environmental_sciences,agriculture}",true,3600,3600,"{in_person,remotely}",Master,1760,1485,287,2026-01-11 22:41:56.437713 +00:00,2026-01-11 22:41:56.437713 +00:00,false,external,[],false,University of Thessaly,Πανεπιστήμιο Θεσσαλίας
Ανθρώπινα Δικαιώματα και Μεταναστευτικές Σπουδές,Human Rights and Migration Studies,"Το Τμήμα Βαλκανικών, Σλαβικών και Ανατολικών Σπουδών και το Τμήμα Διεθνών και Ευρωπαϊκών Σπουδών προσφέρουν το μεταπτυχιακό πρόγραμμα στα Ανθρώπινα Δικαιώματα και Μεταναστευτικές Σπουδές. Στόχος του προγράμματος είναι να προσφέρει υψηλής ποιότητας εκπαίδευση σε φοιτητές που ενδιαφέρονται για τους δύο αυτούς συναφείς κλάδους, προετοιμάζοντάς τους για καριέρα σε τομείς όπως η παρακολούθηση και η εφαρμογή των ανθρωπίνων δικαιωμάτων, καθώς και οι υπηρεσίες και η διαχείριση της νόμιμης και παράνομης μετανάστευσης. Οι πιθανοί εργοδότες περιλαμβάνουν κυβερνήσεις, διεθνείς κυβερνητικές και μη κυβερνητικές οργανώσεις, εξειδικευμένους οργανισμούς, ιδιωτικές επιχειρήσεις, φιλανθρωπικά ιδρύματα, την Ευρωπαϊκή Ένωση, τοπικές αρχές, υπηρεσίες ασφαλείας κ.λπ. Τα άτομα που ήδη απασχολούνται σε αυτούς τους τομείς θα επωφεληθούν επίσης από τη συμμετοχή τους σε αυτό το πρόγραμμα όσον αφορά τις γνώσεις καθώς και τις ευκαιρίες για επαγγελματική εξέλιξη. Τέλος, το πρόγραμμα θα αποδειχθεί απαραίτητο για όσους σκέφτονται να αλλάξουν καριέρα ή επιθυμούν να ακολουθήσουν διδακτορικές σπουδές.Γίνονται δεκτοί πτυχιούχοι Τμημάτων Πανεπιστημίων της ημεδαπής και αναγνωρισμένων ομοταγών ιδρυμάτων της αλλοδαπής, καθώς και πτυχιούχοι Τμημάτων των Τ.Ε.Ι. συναφούς γνωστικού αντικειμένου.","The Department of Balkan, Slavic and Oriental Studies and the Department of International and European Studies offers a Postgraduate Programme leading to a Master’s Degree in Human Rights and Migration Studies. The aim of this course is to provide a high quality educational opportunity for students interested in these two related disciplines in preparation for a career in fields such as human rights monitoring and implementation as well as services and management of regular and irregular migration. Prospective employers include governments, international governmental and non governmental organizations, specialized agencies, private enterprises, charitable institutions, the European Union, local authorities, security services, e.t.c. People already employed in these fields will also benefit from attending this course in terms of knowledge as well as opportunities for professional advancement. Finally, the course will prove indispensible to those contemplating a career change or wish to pursue a PhD.Holders of a first-cycle degree from a Greek university or equivalent foreign institution are eligible for admission to the program.",{},90,Thessaloniki,Θεσσαλονίκη,+302310891644,hurmis@uom.edu.gr,https://www.uom.gr/en/hurmis,{english},"{social_sciences,law_sciences}",true,3600,3600,{in_person},Master,1603,1363,339,2026-01-11 22:41:56.437713 +00:00,2026-05-21 09:55:27.991699 +00:00,false,external,[],false,University of Macedonia,Πανεπιστήμιο Μακεδονίας
Χρηματοοικονομική Τεχνολογία (FinTech),Financial Technology (FinTech),"Το μεταπτυχιακό πρόγραμμα στη Χρηματοοικονομική Τεχνολογία (Fintech) έχει σχεδιαστεί ώστε να εξοπλίζει τους μεταπτυχιακούς φοιτητές με σύγχρονες γνώσεις και τα απαραίτητα τεχνικά εργαλεία που σχετίζονται με εφαρμογές στον τομέα της χρηματοοικονομικής τεχνολογίας. Ως αποτέλεσμα, οι μεταπτυχιακοί φοιτητές θα είναι καλά προετοιμασμένοι για να ακολουθήσουν μια επιτυχημένη καριέρα στον νέο τομέα της τραπεζικής και των χρηματοοικονομικών.Γίνονται δεκτοί πτυχιούχοι Τμημάτων Πανεπιστημίων της ημεδαπής και αναγνωρισμένων ομοταγών ιδρυμάτων της αλλοδαπής, καθώς και πτυχιούχοι Τμημάτων των Τ.Ε.Ι. συναφούς γνωστικού αντικειμένου.","The M.Sc. in Financial Technology (Fintech) has been designed in a manner to equip graduate students with modern knowledge and the necessary technical tools in relevance to applications in the area of financial technology; as a result, graduate students will be well prepared to follow a successful career in the new field of banking and finance.Holders of a first-cycle degree from a Greek university or equivalent foreign institution are eligible for admission to the program.",{},90,Pireaus,Πειραιάς,+302104142093,xrh-secr@unipi.gr,https://bankfin.unipi.gr/mscfintech/en/home/,{english},{economics_management},true,7000,7000,"{in_person,remotely}",Master,2015,1690,383,2026-01-11 22:41:56.437713 +00:00,2026-05-28 08:27:05.518937 +00:00,false,external,[],false,University of Piraeus,Πανεπιστήμιο Πειραιώς
Προηγμένες Πειραματικές και Υπολογιστικές Βιοεπιστήμες,MSc in Advanced Experimental and Computational Biosciences,"Η αποστολή του Μεταπτυχιακού Προγράμματος στις Προηγμένες Πειραματικές και Υπολογιστικές Βιοεπιστήμες είναι να εκπαιδεύσει τους φοιτητές στην ερευνητική αριστεία σε όλους τους τομείς των βιοεπιστημών, είτε πρόκειται για τον ακαδημαϊκό χώρο, τις ερευνητικές υποδομές ή τη βιομηχανία. Το πρόγραμμα συγκεντρώνει αφοσιωμένους καθηγητές και ταλαντούχους φοιτητές σε ένα συνεργατικό και υποστηρικτικό περιβάλλον σε όλες τις ηπείρους, με σκοπό τη διερεύνηση των μηχανισμών των βιολογικών φαινομένων και την ανακάλυψη νέων γνώσεων. Θεωρούμε ως βασικές αξίες την ερευνητική αριστεία, την καλή καθοδήγηση, τη διεπιστημονική συνεργασία και την συμπερίληψη.Γίνονται δεκτοί απόφοιτοι Τμημάτων Βιολογίας, Βιοχημείας, Βιοτεχνολογίας, Χημείας, Μοριακής Βιολογίας, Γενετικής και Ιατρικής.","The mission of the Graduate Program in Advanced Experimental and Computational Biosciences is to train students to research excellence across the biosciences workforce, be that academia, research infrastructures, or industry. The program brings together committed faculty and talented students in a collaborative and supportive environment across continents, to probe the mechanisms of biological phenomena and discover new knowledge. We hold as key values research excellence, good mentorship, collaboration across disciplines, and inclusion.All holders of biosciences-related Bachelor’s programs (e.g. biology, biochemistry, biotechnology, chemistry, molecular biology, genetics, but also medical schools) are eligible to apply.",{},120,Larissa,Λάρισα,+302410565284,aec@uth.gr,http://aec.bio.uth.gr/,{english},"{health,environmental_sciences}",true,4000,4000,{remotely},Master,1792,1504,274,2026-01-11 22:41:56.437713 +00:00,2026-01-11 22:41:56.437713 +00:00,false,external,[],false,University of Thessaly,Πανεπιστήμιο Θεσσαλίας
