id,name_en,name_gr,university,university_gr,department,city,topics,languages,ects,semesters,tuition,study_modes,email,scholarship,university_image_url,programme_url,open_date,deadline,intake,apply_url,application_status,notes,portal,requires_login,found,found_in_announcement,scrape_status,pass2_status,scraped_at
1501,"MA in Southeast European Studies: Politics, History, Economics","Σπουδές Νοτιοανατολικής Ευρώπης: Πολιτική, Ιστορία, Οικονομικά",,,,Athens,{politics},{english},75,,EUR 3600,{in_person},postgrad_SEE@pspa.uoa.gr,no,,https://see.pspa.uoa.gr/,,,,,not_mentioned,,,,no,,ok,skipped,2026-06-26T13:20:26.959884+00:00
1187,MSc in Financial Management,ΠΜΣ στη Χρηματοοικονομική Διοίκηση,,,,Athens,"{economics_management,humanities}",{english},75,,EUR 6200-6400,{in_person},master.fm@aueb.gr,no,,https://www.dept.aueb.gr/msc-fm,Friday April 3 rd 2026,"Friday April 3 rd 2026, Tuesday June 30th 2026",September 2026,https://e-graduate.applications.aueb.gr/?lang=en_US,open,"The program has a rolling admissions procedure conducted in two rounds with deadlines on April 3, 2026, and June 30, 2026.",,,yes,https://www.dept.aueb.gr/el/MSc-FM/news/applications-now-open-intake-september-2026,ok,ok,2026-06-26T13:19:49.778493+00:00
1182,"MSc in International Shipping, Finance and Management","Δ.Π.Μ.Σ. Διεθνής Ναυτιλία, Χρηματοοικονομική και Διοίκηση",,,,Athens,"{economics_management,science_and_engineering}",{english},75,,EUR 7600,{in_person},msc.isfm@aueb.gr,no,,https://www.dept.aueb.gr/msc-isfm,,30-03-2026,September 2026,https://e-graduate.applications.aueb.gr/?lang=en_GR,open,Application deadline extended; open for September 2026 intake.,,,yes,,ok,skipped,2026-06-26T13:19:45.899288+00:00
20,BSc in Accounting and Finance,ΞΠΠΣ στη Λογιστική και Χρηματοοικονομική,,,,Thessaloniki,{economics_management},{english},240,,EUR 5900,"{in_person,remotely}",info.accfin@uom.edu.gr,no,,https://accfinbsc.com/,15th of September 2026,15th of September 2026,,https://docs.google.com/forms/d/e/1FAIpQLSeoOKGhBwNPBqHS_kcRNpUj9pFdLowngtIWC9xtvi3GmWUCRw/viewform,open,"The application deadline and open date are the same, suggesting applications are currently open for entry in 2026.",,,yes,https://accfinbsc.com/call-for-applications-2026/,ok,skipped,2026-06-26T13:19:52.499750+00:00
1552,Livestock and Wildlife Management,Ολοκληρωμένη διαχείριση παραγωγικών ζώων και άγριας πανίδας,,,,Florina,"{agriculture,environmental_sciences}","{greek,english}",120,,EUR 2200,{remotely},lwm@uowm.gr,no,,https://lwm.uowm.gr/,02/06/2026,13/02/2026,,https://lwm.uowm.gr/%ce%af%cf%84%ce%b7%cf%83%ce%b7-%ce%b5%ce%b3%ce%b3%cf%81%ce%b1%cf%86%ce%ae%cf%82/,closed,,,,yes,,ok,skipped,2026-06-26T13:19:57.557298+00:00
1786,Food Quality Control,Ποιοτικός Έλεγχος Τροφίμων,,,,Kozani,"{technology,agriculture}","{english,greek}",90,,EUR 3200,"{in_person,remotely}",grad-food@uowm.gr,no,,https://fqc.chemeng.uowm.gr/en/home-page/,,,,,not_mentioned,,,,no,,ok,skipped,2026-06-26T13:20:47.013299+00:00
1485,MSc in Host-Microbe Interaction,MSc in Host-Microbe Interaction,,,,Volos,"{environmental_sciences,agriculture}",{english},75,,EUR 3600,"{in_person,remotely}",hosmic@uth.gr,no,,https://hosmic.uth.gr/,,,,https://hosmic.uth.gr/registration/,not_mentioned,,,,no,,ok,ok,2026-06-26T13:20:01.222943+00:00
1363,Human Rights and Migration Studies,Ανθρώπινα Δικαιώματα και Μεταναστευτικές Σπουδές,,,,Thessaloniki,"{social_sciences,law_sciences}",{english},90,,EUR 3600,{in_person},hurmis@uom.edu.gr,no,,https://www.uom.gr/en/hurmis,1 April 2026,10 September 2026,October 2026,https://www.uom.gr/hurmis/entypa,open,Applications open from 1 April 2026 and close on 10 September 2026. The courses start on 12 October 2026. The application process is ongoing within the specified periods.,,,yes,https://www.uom.gr/en/19612-call-for-applications-for-the-master-s-in-human-rights-and-migration-studies-for-the-academic-year-2026-2027,ok,skipped,2026-06-26T13:20:08.547738+00:00
1690,Financial Technology (FinTech),Χρηματοοικονομική Τεχνολογία (FinTech),,,,Pireaus,{economics_management},{english},90,,EUR 7000,"{in_person,remotely}",xrh-secr@unipi.gr,no,,https://bankfin.unipi.gr/mscfintech/en/home/,"until Thursday, July 18, 2025","July 18, 2025",Summer 2025,https://bankfin.unipi.gr/mscfintech/en/apply-en/,open,"Applications are open until July 18, 2025.",,,yes,,ok,skipped,2026-06-26T13:20:18.692421+00:00
1504,MSc in Advanced Experimental and Computational Biosciences,Προηγμένες Πειραματικές και Υπολογιστικές Βιοεπιστήμες,,,,Larissa,"{health,environmental_sciences}",{english},120,,EUR 4000,{remotely},aec@uth.gr,no,,http://aec.bio.uth.gr/,"Jul 31, 2023","rolling basis, until maximum 26 candidates are admitted or unspecified, no specific deadline mentioned",Academic Year 2025-2026,https://aec.bio.uth.gr/application-form/,open,Applications are now open for the academic year 2025-2026 and will be processed on a rolling basis or until the maximum number is reached.,,,yes,,ok,ok,2026-06-26T13:20:53.124054+00:00
1075,Molecular Biology-Biomedicine,Μοριακή Βιολογία-Βιοϊατρική,,,,Heraklion,"{health,science_and_engineering}","{greek,english}",120,,Free,{in_person},bervan@biology.uoc.gr,no,,https://msc-mbb.gr/index.php/en/,,,,,not_mentioned,,,,no,,ok,skipped,2026-06-26T13:21:06.026613+00:00
1395,Athens International Program in Neurosciences,ΔΠΜΣ στις Νευροεπιστήμες,,,,Athens,"{science_and_engineering,health}",{english},120,,EUR 4000,{in_person},masterneuro@biol.uoa.gr,no,,https://masterneuroscience.gr/,,,Academic Year 2024-2025,,not_mentioned,,,,no,,ok,skipped,2026-06-26T13:21:06.331143+00:00
1699,Immunobiology,Ανοσοβιολογία,,,,Heraklion,"{science_and_engineering,health}",{english},120,,EUR 4000,{in_person},bio-grads@uoc.gr,no,,https://mscs.uoc.gr/immunobio,,4th of May 2026,,,closed,New Deadline: 4th of May 2026 (23.59 local time),,,yes,,ok,skipped,2026-06-26T13:21:00.093172+00:00
1077,"Erasmus Mundus Joint Master Degree in Aquaculture, Environment and Society Plus ACES +","Υδατοκαλλιέργεια, Περιβάλλον και Κοινωνία - Erasmus Mundus",,,,Heraklion,"{environmental_sciences,agriculture}",{english},120,,EUR 5000,{in_person},postgrad.secr@uoc.gr,no,,https://www.emm-aces.org/,2026-04-16T14:47:10+00:00,,,https://www.uhi.ac.uk/en/courses/msc-aquaculture-environment-and-society/,closed,The application process is currently closed with the message that applications are now closed and that updates for the 2027 intake will be available in October.,,,yes,,ok,ok,2026-06-26T13:21:08.323196+00:00
1544,Biomedical Engineering and Technology,Βιοϊατρική Μηχανική και Τεχνολογία,,,,Athens,{technology},{english},90,,EUR 2000,"{remotely,in_person}",bmet.msc@uniwa.gr,no,,https://bmet.uniwa.gr/,01 April 2026,31 May 2026,October 2026,,open,,,,yes,,ok,skipped,2026-06-26T13:21:11.700658+00:00
1808,Advanced Aesthetics and Cosmetic Science: Development-Quality Control and Safety of new cosmetic products,Προχωρημένη Αισθητική και Κοσμητολογία: Ανάπτυξη-Ποιοτικός Έλεγχος και Ασφάλεια Νέων Καλλυντικών Προϊόντων,,,,Athens,{health},{english},90,,EUR 2900,{in_person},aesthcosm@uniwa.gr,no,,https://msc-aesthcosm.uniwa.gr/en/homepage/,24 Ιούν 2026,18:42 / Ανανέωση / 24 Ιούν 2026,,,coming_soon,"The application open date is June 24, 2026, and the first related deadline indicated is also on this date, suggesting upcoming admissions for the next cycle. No specific application deadline after that is provided, so it is marked as 'coming_soon'.",,,yes,,ok,skipped,2026-06-26T13:21:34.405156+00:00
1635,Marine Biotechnology,Θαλάσσια Βιοτεχνολογία,,,,Athens,"{agriculture,science_and_engineering}",{english},120,,EUR 5000-9000,{in_person},vera.charitou@aua.gr,no,,https://www.eu-conexus.eu/en/marine-biotechnology/,1 December 2025,30 April 2026,,,not_mentioned,,,,yes,,ok,skipped,2026-06-26T13:21:16.001238+00:00
1717,BA in Applied Philosophy in Business Decision Making,BA in Applied Philosophy in Business Decision Making,,,,Athens,"{economics_management,social_sciences}",{english},240,,EUR 6000,{in_person},philosophy-business@uniwa.gr,no,,https://philosophy-business.uniwa.gr/,,,,,not_mentioned,,,,no,,ok,skipped,2026-06-26T13:22:44.769791+00:00
1718,International Business and Technology,International Business and Technology,,,,Athens,"{economics_management,technology}",{english},240,,EUR 6000,{in_person},ibt@aueb.gr,no,,https://ibt.aueb.gr/,,,,,not_mentioned,,,,no,,ok,skipped,2026-06-26T13:22:08.305420+00:00
